time(s),joint1,joint2,joint3,joint4,joint5,joint6,joint7,wheel_joint_left,wheel_joint_right
1.786,-2.27936e-07,-6.71457e-06,3.56754e-06,-9.79281e-06,2.4972e-06,-1.08485e-08,5.70177e-09,2.61745e-07,5.12055e-07
1.806,-2.02629e-07,-7.05726e-06,3.11124e-06,-2.40018e-05,2.47978e-06,1.16356e-08,5.78527e-09,2.66375e-07,5.18507e-07
1.826,-2.27934e-07,6.27969e-06,3.56677e-06,-9.81186e-06,2.49653e-06,-1.08579e-08,5.70036e-09,2.70735e-07,5.24976e-07
1.846,-2.02964e-07,-5.8306e-06,3.15983e-06,-1.00615e-05,2.4413e-06,-1.09168e-08,5.7086e-09,2.75334e-07,5.31401e-07
1.866,-2.03727e-07,-6.92053e-06,3.17523e-06,-1.01489e-05,2.45177e-06,-1.09845e-08,5.72855e-09,2.79947e-07,5.37764e-07
1.886,-2.03425e-07,-5.67917e-06,3.17263e-06,-1.01193e-05,2.44667e-06,-1.09542e-08,5.71856e-09,2.84547e-07,5.44108e-07
1.906,-2.29084e-07,6.25324e-06,3.57605e-06,-9.80346e-06,2.49939e-06,-1.07954e-08,5.70805e-09,2.88921e-07,5.50591e-07
1.926,-2.02919e-07,-5.83096e-06,3.15786e-06,-1.00696e-05,2.44216e-06,-1.0925e-08,5.71056e-09,2.93525e-07,5.57028e-07
1.946,-2.02146e-07,-6.28182e-06,3.15331e-06,-1.0077e-05,2.44455e-06,-1.09971e-08,5.71723e-09,2.97918e-07,5.63622e-07
1.966,-2.33593e-07,-1.05293e-05,3.68001e-06,1.19846e-05,2.85759e-06,-1.28675e-08,6.42313e-09,3.03148e-07,5.70779e-07
1.986,-2.03663e-07,5.68287e-06,3.17406e-06,-1.0264e-05,2.45207e-06,-1.10811e-08,5.72878e-09,3.07419e-07,5.76608e-07
2.006,-2.04117e-07,-5.85561e-06,3.17872e-06,-1.01843e-05,2.45824e-06,-1.10222e-08,5.74128e-09,3.12027e-07,5.82974e-07
2.026,-2.03424e-07,-6.91486e-06,3.17259e-06,-1.01172e-05,2.44661e-06,-1.09526e-08,5.71848e-09,3.16622e-07,5.89313e-07
2.046,-2.33573e-07,-1.05304e-05,3.67938e-06,1.19833e-05,2.85725e-06,-1.28627e-08,6.42252e-09,3.21857e-07,5.96473e-07
2.066,-2.12427e-07,-7.16909e-06,3.27128e-06,-1.09247e-05,2.59246e-06,-1.18236e-08,6.00649e-09,3.25996e-07,6.02545e-07
2.086,-2.33219e-07,-1.05101e-05,3.67252e-06,1.19369e-05,2.85415e-06,-1.28213e-08,6.41578e-09,3.31083e-07,6.09609e-07
2.106,-2.12427e-07,-7.16857e-06,3.27136e-06,-1.09239e-05,2.59242e-06,-1.18231e-08,6.00643e-09,3.35221e-07,6.15681e-07
2.126,-2.03036e-07,-5.6627e-06,3.16586e-06,-1.00737e-05,2.44129e-06,-1.09056e-08,5.70875e-09,3.39676e-07,6.21929e-07
2.146,-2.0309e-07,-5.66598e-06,3.16894e-06,-1.01005e-05,2.44218e-06,-1.09336e-08,5.70988e-09,3.44279e-07,6.28272e-07
2.166,-2.03427e-07,5.68024e-06,3.17268e-06,-1.01228e-05,2.44676e-06,-1.0957e-08,5.71869e-09,3.48886e-07,6.34622e-07
2.186,-2.04032e-07,-5.85336e-06,3.17802e-06,-1.01753e-05,2.45682e-06,-1.1013e-08,5.73848e-09,3.53497e-07,6.4099e-07
2.206,-2.2791e-07,-6.71406e-06,3.56738e-06,-9.78737e-06,2.49763e-06,-1.08472e-08,5.70278e-09,3.5785e-07,6.47481e-07
2.226,-2.09465e-07,-7.30583e-06,3.21245e-06,-2.4976e-05,2.74626e-06,1.29376e-08,6.19188e-09,3.62868e-07,6.54221e-07
2.246,-2.03417e-07,5.67632e-06,3.16968e-06,-1.01227e-05,2.44644e-06,-1.09609e-08,5.71872e-09,3.6721e-07,6.60351e-07
2.266,-2.04036e-07,-5.8534e-06,3.17803e-06,-1.01757e-05,2.45688e-06,-1.10135e-08,5.73861e-09,3.7182e-07,6.66717e-07
2.286,-2.29077e-07,6.25551e-06,3.57589e-06,-9.80452e-06,2.49936e-06,-1.07963e-08,5.708e-09,3.76177e-07,6.73191e-07
2.306,-2.28099e-07,-6.13151e-06,3.56099e-06,-9.84529e-06,2.49854e-06,-1.0819e-08,5.71195e-09,3.8079e-07,6.79546e-07
2.326,-2.27146e-07,-1.13498e-05,3.54609e-06,-9.87754e-06,2.49742e-06,-1.08422e-08,5.71607e-09,3.85403e-07,6.85915e-07
2.346,-2.02778e-07,5.69026e-06,3.15341e-06,-1.00946e-05,2.44413e-06,-1.09525e-08,5.71513e-09,3.90003e-07,6.92365e-07
2.366,-2.2713e-07,-6.28656e-06,3.57806e-06,-9.80433e-06,2.50828e-06,-1.09452e-08,5.72022e-09,3.94349e-07,6.9907e-07
2.386,-2.28706e-07,-1.13906e-05,3.57096e-06,-9.81932e-06,2.49918e-06,-1.08004e-08,5.70886e-09,3.98982e-07,7.05437e-07
2.406,-2.04145e-07,5.72621e-06,3.17126e-06,-1.01535e-05,2.45937e-06,-1.10134e-08,5.74382e-09,4.03597e-07,7.119e-07
2.426,-2.29075e-07,6.04374e-06,3.57582e-06,-9.80451e-06,2.49934e-06,-1.0796e-08,5.70799e-09,4.07951e-07,7.18373e-07
2.446,-2.0395e-07,-5.85232e-06,3.16946e-06,-1.01355e-05,2.45612e-06,-1.09943e-08,5.73744e-09,4.12564e-07,7.24829e-07
2.466,-2.04657e-07,-6.93513e-06,3.1836e-06,-1.02269e-05,2.46711e-06,-1.10684e-08,5.75878e-09,4.17179e-07,7.31213e-07
2.486,-2.27957e-07,6.27116e-06,3.56747e-06,-9.79295e-06,2.49675e-06,-1.08464e-08,5.70079e-09,4.21544e-07,7.37689e-07
2.506,-2.02629e-07,-7.05701e-06,3.11124e-06,-2.40019e-05,2.47978e-06,1.16356e-08,5.78527e-09,4.26175e-07,7.44141e-07
2.526,-2.0303e-07,5.6795e-06,3.16586e-06,-1.0121e-05,2.44311e-06,-1.09549e-08,5.71195e-09,4.30756e-07,7.50468e-07
2.546,-2.0373e-07,-5.84471e-06,3.17532e-06,-1.01504e-05,2.45182e-06,-1.09863e-08,5.72863e-09,4.35365e-07,7.56826e-07
2.566,-2.02982e-07,-6.92311e-06,3.16549e-06,-1.01127e-05,2.44353e-06,-1.09481e-08,5.7131e-09,4.39965e-07,7.63176e-07
2.586,-2.29085e-07,6.25229e-06,3.57607e-06,-9.80345e-06,2.49939e-06,-1.07954e-08,5.70803e-09,4.44345e-07,7.69661e-07
2.606,-2.28102e-07,-6.13146e-06,3.56104e-06,-9.84515e-06,2.49854e-06,-1.08189e-08,5.71194e-09,4.48958e-07,7.76016e-07
2.626,-2.27149e-07,-1.13499e-05,3.54615e-06,-9.87742e-06,2.49742e-06,-1.08421e-08,5.71606e-09,4.53571e-07,7.82385e-07
2.646,-2.26195e-07,6.09859e-06,3.53111e-06,-9.91057e-06,2.49631e-06,-1.08661e-08,5.72025e-09,4.58185e-07,7.88767e-07
2.666,-2.25238e-07,-6.1583e-06,3.51592e-06,-9.94457e-06,2.4952e-06,-1.08909e-08,5.72449e-09,4.628e-07,7.95162e-07
2.686,-2.24278e-07,-6.70779e-06,3.50056e-06,9.97949e-06,2.49411e-06,-1.09164e-08,5.72879e-09,4.67414e-07,8.01572e-07
2.706,-2.23317e-07,6.14638e-06,3.48505e-06,-1.00146e-05,2.49302e-06,-1.09428e-08,5.73315e-09,4.72029e-07,8.07995e-07
2.726,-2.22353e-07,-6.09602e-06,3.46938e-06,-1.00606e-05,2.49195e-06,-1.097e-08,5.73757e-09,4.76644e-07,8.14431e-07
2.746,1.53972e-07,8.41744e-06,-3.20839e-06,-1.14285e-05,1.83966e-06,-1.23727e-08,0.188777,4.81513e-07,8.21134e-07
2.766,1.54267e-07,8.84112e-06,-3.34975e-06,-1.12782e-05,1.74196e-06,-1.22122e-08,0.26528,4.86738e-07,8.28205e-07
2.786,-2.18669e-07,-6.02125e-06,-3.16042e-06,-1.03348e-05,-1.31685e-06,-1.12908e-08,0.317559,4.91943e-07,8.35246e-07
2.806,-2.1003e-07,8.70291e-06,-3.27052e-06,-1.1014e-05,-1.32008e-06,-1.19904e-08,0.375831,4.97129e-07,8.42221e-07
2.826,-2.06523e-07,8.17698e-06,-3.3391e-06,-1.23604e-05,-1.32414e-06,-1.33688e-08,0.40461,5.02393e-07,8.49378e-07
2.846,-1.77955e-07,-6.07073e-06,-3.23552e-06,-1.18796e-05,-1.53349e-06,-1.28591e-08,0.427805,5.07598e-07,8.56413e-07
2.866,-1.79059e-07,-6.08794e-06,-3.25627e-06,-1.1923e-05,-1.52548e-06,-1.29204e-08,0.44144,5.12817e-07,8.63475e-07
2.886,-1.53314e-07,-6.08627e-06,-3.29893e-06,-1.06004e-05,1.98235e-06,-1.16857e-08,0.420555,5.17655e-07,8.70531e-07
2.906,-1.67149e-07,-5.90561e-06,-3.05172e-06,-1.13949e-05,1.70021e-06,-1.23305e-08,0.409799,5.22903e-07,8.77602e-07
2.926,-1.50039e-07,8.65872e-06,-3.27407e-06,-1.07958e-05,1.64437e-06,-1.17819e-08,0.364138,5.27902e-07,8.84703e-07
2.946,-1.51025e-07,8.7827e-06,-3.2917e-06,-1.08797e-05,1.6626e-06,-1.18432e-08,0.312745,5.33159e-07,8.91699e-07
2.966,-1.78458e-07,7.98396e-06,-3.29693e-06,-1.23224e-05,1.88451e-06,-1.32888e-08,0.257026,5.38463e-07,8.98852e-07
2.986,-1.76514e-07,7.79692e-06,-3.26441e-06,-1.22394e-05,1.86482e-06,-1.31987e-08,0.177623,5.43447e-07,9.06047e-07
3.006,-1.70221e-07,-5.94951e-06,-3.09086e-06,-1.15122e-05,1.73831e-06,-1.24065e-08,0.108796,5.48629e-07,9.1297e-07
